Ticker,company,minusfiftyper,minustwentyfiveper,minusfifteenper,minustenper,minuseightper,minussixper,minusfourper,minustwoper,twoper,fourper,sixper,eightper,tenper,fifteenper,twentyfiveper,fiftyper,ticker_company
A,"AGILENT TECHNOLOGIES INC",0.00000001,0.0000001,0.000001,0.00001,0.02,0.04,0.13,0.18,0.39,0.13,0.02,0.01,0.0001,0.00001,0.000001,0.000001,"A,AGILENT TECHNOLOGIES INC"
AAL,"AMERICAN AIRLINES GROUP INC",0.00000001,0.0000001,0.01,0.05,0.08,0.15,0.22,0.36,0.38,0.24,0.13,0.07,0.03,0.00001,0.000001,0.000001,"AAL,AMERICAN AIRLINES GROUP INC"
AAP,"ADVANCE AUTO PARTS INC",0.00000001,0.0000001,0.03,0.06,0.07,0.13,0.21,0.32,0.31,0.16,0.09,0.05,0.03,0.01,0.000001,0.000001,"AAP,ADVANCE AUTO PARTS INC"
AAPL,"APPLE INC",0.00000001,0.0000001,0.000001,0.02,0.03,0.05,0.1,0.2,0.32,0.14,0.08,0.02,0.01,0.00001,0.000001,0.000001,"AAPL,APPLE INC"
ABBV,"ABBVIE INC",0.00000001,0.0000001,0.01,0.01,0.01,0.06,0.12,0.28,0.34,0.17,0.04,0.03,0.03,0.02,0.000001,0.000001,"ABBV,ABBVIE INC"
ABC,"AMERISOURCEBERGEN CORP",0.00000001,0.0000001,0.01,0.05,0.05,0.1,0.17,0.29,0.32,0.16,0.06,0.04,0.0001,0.00001,0.000001,0.000001,"ABC,AMERISOURCEBERGEN CORP"
ABMD,"ABIOMED INC",0.00000001,0.0000001,0.04,0.04,0.05,0.07,0.1,0.14,0.5,0.25,0.15,0.08,0.03,0.01,0.000001,0.000001,"ABMD,ABIOMED INC"
ABT,"ABBOTT LABORATORIES",0.00000001,0.0000001,0.000001,0.02,0.02,0.03,0.06,0.18,0.3,0.12,0.04,0.01,0.0001,0.00001,0.000001,0.000001,"ABT,ABBOTT LABORATORIES"
ACN,"ACCENTURE PLC",0.00000001,0.0000001,0.000001,0.01,0.01,0.04,0.07,0.19,0.27,0.09,0.04,0.001,0.0001,0.00001,0.000001,0.000001,"ACN,ACCENTURE PLC"
ADBE,"ADOBE SYSTEMS INC",0.00000001,0.0000001,0.01,0.01,0.02,0.06,0.08,0.13,0.39,0.15,0.06,0.05,0.01,0.00001,0.000001,0.000001,"ADBE,ADOBE SYSTEMS INC"
ADI,"ANALOG DEVICES",0.00000001,0.0000001,0.000001,0.01,0.03,0.03,0.07,0.22,0.31,0.19,0.05,0.01,0.0001,0.00001,0.000001,0.000001,"ADI,ANALOG DEVICES"
ADM,"ARCHER-DANIELS-MIDLAND CO",0.00000001,0.0000001,0.000001,0.02,0.06,0.07,0.11,0.26,0.26,0.12,0.09,0.03,0.02,0.00001,0.000001,0.000001,"ADM,ARCHER-DANIELS-MIDLAND CO"
ADP,"AUTOMATIC DATA PROCESSING",0.00000001,0.0000001,0.000001,0.01,0.02,0.05,0.08,0.16,0.3,0.08,0.03,0.01,0.01,0.00001,0.000001,0.000001,"ADP,AUTOMATIC DATA PROCESSING"
ADS,"ALLIANCE DATA SYSTEMS CORP",0.00000001,0.0000001,0.01,0.04,0.07,0.11,0.21,0.32,0.32,0.2,0.07,0.03,0.01,0.00001,0.000001,0.000001,"ADS,ALLIANCE DATA SYSTEMS CORP"
ADSK,"AUTODESK INC",0.00000001,0.0000001,0.01,0.04,0.06,0.08,0.15,0.24,0.41,0.25,0.11,0.05,0.04,0.02,0.000001,0.000001,"ADSK,AUTODESK INC"
AEE,"AMEREN CORP",0.00000001,0.0000001,0.000001,0.00001,0.0001,0.01,0.06,0.2,0.26,0.07,0.01,0.001,0.0001,0.00001,0.000001,0.000001,"AEE,AMEREN CORP"
AEP,"AMERICAN ELECTRIC POWER CO",0.00000001,0.0000001,0.000001,0.00001,0.0001,0.02,0.08,0.19,0.25,0.07,0.01,0.001,0.0001,0.00001,0.000001,0.000001,"AEP,AMERICAN ELECTRIC POWER CO"
AES,"AES CORP",0.00000001,0.0000001,0.000001,0.02,0.05,0.08,0.15,0.22,0.35,0.17,0.05,0.01,0.0001,0.00001,0.000001,0.000001,"AES,AES CORP"
AET,"AETNA INC",0.00000001,0.0000001,0.000001,0.00001,0.0001,0.01,0.06,0.22,0.26,0.12,0.06,0.02,0.02,0.00001,0.000001,0.000001,"AET,AETNA INC"
AFL,"AFLAC INC",0.01,0.01,0.01,0.01,0.01,0.02,0.06,0.1,0.19,0.07,0.01,0,0,0,0,0,"AFL,AFLAC INC"
AGN,"ALLERGAN PLC",0.00000001,0.0000001,0.01,0.03,0.05,0.09,0.19,0.38,0.31,0.15,0.06,0.02,0.01,0.00001,0.000001,0.000001,"AGN,ALLERGAN PLC"
AIG,"AMERICAN INTERNATIONAL GROUP",0.00000001,0.0000001,0.000001,0.00001,0.02,0.04,0.14,0.23,0.27,0.09,0.03,0.01,0.0001,0.00001,0.000001,0.000001,"AIG,AMERICAN INTERNATIONAL GROUP"
AIV,"APARTMENT INVST & MGMT CO",0.00000001,0.0000001,0.000001,0.02,0.03,0.07,0.14,0.21,0.28,0.11,0.02,0.001,0.0001,0.00001,0.000001,0.000001,"AIV,APARTMENT INVST & MGMT CO"
AIZ,"ASSURANT INC",0.00000001,0.0000001,0.000001,0.01,0.03,0.08,0.14,0.19,0.28,0.13,0.05,0.01,0.0001,0.00001,0.000001,0.000001,"AIZ,ASSURANT INC"
AJG,"ARTHUR J GALLAGHER & CO",0.00000001,0.0000001,0.000001,0.00001,0.01,0.01,0.04,0.12,0.26,0.1,0.01,0.01,0.0001,0.00001,0.000001,0.000001,"AJG,ARTHUR J GALLAGHER & CO"
AKAM,"AKAMAI TECHNOLOGIES INC",0.00000001,0.0000001,0.02,0.08,0.1,0.12,0.17,0.28,0.33,0.16,0.06,0.04,0.04,0.02,0.01,0.000001,"AKAM,AKAMAI TECHNOLOGIES INC"
ALB,"ALBEMARLE CORP",0.00000001,0.0000001,0.02,0.04,0.04,0.07,0.17,0.29,0.4,0.2,0.12,0.07,0.01,0.00001,0.000001,0.000001,"ALB,ALBEMARLE CORP"
ALGN,"ALIGN TECHNOLOGY INC",0.00000001,0.0000001,0.01,0.03,0.03,0.07,0.1,0.19,0.5,0.31,0.19,0.08,0.04,0.01,0.000001,0.000001,"ALGN,ALIGN TECHNOLOGY INC"
ALK,"ALASKA AIR GROUP INC",0.00000001,0.0000001,0.03,0.04,0.05,0.11,0.19,0.31,0.33,0.22,0.09,0.02,0.0001,0.00001,0.000001,0.000001,"ALK,ALASKA AIR GROUP INC"
ALL,"ALLSTATE CORP",0.00000001,0.0000001,0.000001,0.00001,0.01,0.02,0.03,0.14,0.25,0.05,0.01,0.001,0.0001,0.00001,0.000001,0.000001,"ALL,ALLSTATE CORP"
ALLE,"ALLEGION PLC",0.00000001,0.0000001,0.000001,0.03,0.05,0.06,0.08,0.17,0.31,0.06,0.04,0.03,0.0001,0.00001,0.000001,0.000001,"ALLE,ALLEGION PLC"
